-350,350,0,1
-350,200,0,1
-350,-200,0,1
-350,-350,0,1
-200,350,0,1
-200,200,0,1
-200,-200,0,1
-200,-350,0,1
-50,350,0,1
-50,200,0,1
-50,-200,0,1
-50,-350,0,1
0,350,0,1
0,200,0,1
0,-200,0,1
0,-350,0,1
10,380,0,0
10,360,0,0
10,340,0,0
10,320,0,0
10,300,0,0
10,280,0,0
10,260,0,0
10,240,0,0
10,220,0,0
10,200,0,0
10,180,0,0
10,160,0,0
10,140,0,0
10,120,0,0
10,100,0,0
10,80,0,0
10,60,0,0
10,40,0,0
10,20,0,0
10,0,0,0
10,-20,0,0
10,-40,0,0
10,-60,0,0
10,-80,0,0
10,-100,0,0
10,-120,0,0
10,-140,0,0
10,-160,0,0
10,-180,0,0
10,-200,0,0
10,-220,0,0
10,-240,0,0
10,-260,0,0
10,-280,0,0
10,-300,0,0
10,-320,0,0
10,-340,0,0
10,-360,0,0
10,-380,0,0
