0,0,0,0
-10,-280,0,2
-10,-290,0,2
-60,-280,0,2
-60,-290,0,2
-110,-280,0,2
-110,-290,0,2
-160,-280,0,2
-160,-290,0,2
-210,-280,0,2
-210,-290,0,2
-60,-230,0,2
-60,-240,0,2
-110,-230,0,2
-110,-240,0,2
-160,-230,0,2
-160,-240,0,2
-30,-200,0,1
-30,-150,0,1
-30,-100,0,1
-30,-50,0,1
-30,0,0,1
-30,50,0,1
-30,100,0,1
-30,150,0,1
-30,200,0,1
-20,-200,0,1
-20,-150,0,1
-20,-100,0,1
-20,-50,0,1
-20,0,0,1
-20,50,0,1
-20,100,0,1
-20,150,0,1
-20,200,0,1
30,-250,0,1
30,-200,0,1
30,-150,0,1
30,-100,0,1
30,-50,0,1
30,0,0,1
30,50,0,1
30,100,0,1
30,150,0,1
30,200,0,1
20,-250,0,1
20,-200,0,1
20,-150,0,1
20,-100,0,1
20,-50,0,1
20,0,0,1
20,50,0,1
20,100,0,1
20,150,0,1
20,200,0,1
-240,-250,0,1
-250,-250,0,1
-240,-200,0,1
-250,-200,0,1
-240,-150,0,1
-250,-150,0,1
-240,-100,0,1
-250,-100,0,1
-200,-200,0,1
-190,-200,0,1
-200,-150,0,1
-190,-150,0,1
-200,-100,0,1
-190,-100,0,1
